timestamp,age,gender,year_of_study,faculty,accommodation,commute_time,type_of_study,working,hours_work,current_mode_of_learning,internet,availability_quiet_space,Driving,University bus,Grab/MyCar/Taxi,Public transport,Walking,Carpool
53:52.9,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
01:48.1,20 - 24,Female,1st Year,Computer Science & IT,Off-campus,Under 15 min,Full-time student,No,,Fully Online,4,"Yes, consistently",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
05:48.3,25 - 29,Male,1st Year,Computer Science & IT,Off-campus,1 hr+,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10:54.1,49 and above,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,1 hr+,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,2,"Yes, sometimes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24:17.7,20 - 24,Female,Postgraduate (Masters/PhD),Engineering,Off-campus,15 min to 30 min,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
06:43.6,25 - 29,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
37:19.4,25 - 29,Female,Postgraduate (Masters/PhD),Education,Off-campus,30 min to 1 hr,Full-time student,Yes,Less than 10 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, consistently",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
54:48.0,20 - 24,Male,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
22:34.3,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,10 to 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11:01.3,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16:44.7,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,Under 15 min,Full-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,4,"Yes, consistently",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
27:34.0,20 - 24,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Full-time student,No,,Hybrid / Blended - a mix of online and in-person,4,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
41:26.0,25 - 29,Female,Postgraduate (Masters/PhD),Computer Science & IT,Off-campus,30 min to 1 hr,Part-time student,Yes,More than 30 hours per week,Hybrid / Blended - a mix of online and in-person,3,"Yes, sometimes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
